iter	Passed	Remaining
357	4158	7457
358	4170	7445
359	4180	7432
360	4191	7419
361	4202	7406
362	4212	7392
363	4223	7379
364	4235	7368
365	4245	7354
366	4257	7343
367	4269	7332
368	4282	7322
369	4295	7313
370	4308	7304
371	4321	7294
372	4332	7283
373	4345	7273
374	4358	7264
375	4370	7253
376	4383	7243
377	4396	7235
378	4409	7224
379	4422	7214
380	4435	7205
381	4447	7195
382	4460	7185
383	4470	7172
384	4481	7159
385	4493	7147
386	4503	7133
387	4514	7121
388	4524	7107
389	4535	7094
390	4547	7082
391	4559	7072
392	4570	7059
393	4581	7046
394	4592	7034
395	4602	7019
396	4613	7007
397	4624	6994
398	4635	6982
399	4646	6969
400	4656	6955
401	4667	6943
402	4678	6930
403	4689	6917
404	4699	6904
405	4710	6891
406	4721	6878
407	4731	6864
408	4742	6852
409	4755	6842
410	4767	6832
411	4778	6819
412	4791	6809
413	4801	6796
414	4811	6782
415	4822	6769
416	4833	6757
417	4843	6743
418	4854	6731
419	4865	6718
420	4875	6705
421	4886	6693
422	4898	6681
423	4909	6668
424	4919	6656
425	4930	6643
426	4940	6629
427	4951	6617
428	4963	6605
429	4974	6594
430	4986	6582
431	4997	6570
432	5007	6556
433	5017	6543
434	5028	6531
435	5038	6517
436	5049	6505
437	5060	6493
438	5070	6479
439	5081	6467
440	5092	6455
441	5103	6442
442	5114	6430
443	5125	6417
444	5134	6404
445	5145	6391
446	5157	6379
447	5167	6366
448	5179	6355
449	5191	6344
450	5202	6332
451	5213	6321
452	5224	6309
453	5234	6295
454	5245	6283
455	5257	6271
456	5267	6258
457	5277	6245
458	5289	6235
459	5301	6223
460	5311	6210
461	5322	6198
462	5333	6185
463	5343	6173
464	5355	6161
465	5367	6150
466	5380	6140
467	5392	6130
468	5406	6121
469	5418	6109
470	5429	6098
471	5441	6086
472	5452	6075
473	5463	6063
474	5474	6051
475	5486	6040
476	5498	6028
477	5509	6016
478	5521	6005
479	5531	5992
480	5542	5979
481	5552	5967
482	5563	5954
483	5573	5942
484	5587	5932
485	5599	5921
486	5610	5910
487	5622	5898
488	5634	5888
489	5646	5877
490	5658	5865
491	5669	5854
492	5681	5842
493	5693	5831
494	5703	5819
495	5716	5808
496	5726	5795
497	5737	5783
498	5748	5771
499	5760	5760
500	5770	5747
501	5782	5736
502	5795	5725
503	5806	5714
504	5817	5701
505	5828	5690
506	5839	5678
507	5849	5665
508	5859	5652
509	5870	5640
510	5881	5628
511	5892	5616
512	5903	5604
513	5914	5592
514	5925	5580
515	5936	5568
516	5946	5555
517	5958	5544
518	5968	5531
519	5980	5520
520	5992	5509
521	6006	5499
522	6017	5488
523	6028	5476
524	6040	5465
525	6051	5453
526	6062	5441
527	6074	5430
528	6086	5419
529	6097	5406
530	6108	5395
531	6120	5384
532	6132	5372
533	6142	5360
534	6153	5347
535	6164	5336
536	6174	5324
537	6185	5311
538	6196	5299
539	6207	5287
540	6219	5276
541	6229	5264
542	6240	5252
543	6251	5240
544	6262	5227
545	6272	5215
546	6282	5203
547	6294	5191
548	6305	5179
549	6316	5168
550	6327	5156
551	6337	5143
552	6349	5132
553	6360	5120
554	6370	5108
555	6381	5096
556	6392	5084
557	6402	5071
558	6413	5059
559	6425	5048
560	6436	5036
561	6448	5025
562	6459	5013
563	6469	5000
564	6479	4988
565	6490	4976
566	6500	4964
567	6511	4952
568	6521	4939
569	6531	4927
570	6542	4915
571	6553	4903
572	6563	4891
573	6574	4879
574	6584	4867
575	6594	4854
576	6605	4842
577	6615	4830
578	6626	4818
579	6639	4807
580	6650	4796
581	6661	4784
582	6672	4772
583	6683	4761
584	6694	4748
585	6705	4737
586	6716	4725
587	6726	4712
588	6737	4701
589	6748	4689
590	6758	4677
591	6769	4665
592	6780	4653
593	6790	4641
594	6803	4630
595	6814	4619
596	6824	4606
597	6835	4594
598	6846	4583
599	6858	4572
600	6870	4561
601	6881	4549
602	6891	4536
603	6901	4524
604	6912	4512
605	6922	4500
606	6933	4489
607	6943	4476
608	6953	4464
609	6964	4452
610	6975	4441
611	6985	4428
612	6996	4417
613	7007	4405
614	7017	4392
615	7028	4381
616	7040	4370
617	7050	4357
618	7063	4347
619	7076	4337
620	7088	4326
621	7098	4313
622	7109	4302
623	7120	4290
624	7130	4278
625	7141	4266
626	7152	4254
627	7162	4242
628	7174	4231
629	7183	4219
630	7194	4207
631	7206	4196
632	7218	4185
633	7230	4174
634	7243	4163
635	7255	4152
636	7268	4142
637	7281	4131
638	7295	4121
639	7309	4111
640	7324	4102
641	7337	4091
642	7349	4080
643	7361	4069
644	7374	4058
645	7388	4048
646	7401	4038
647	7414	4027
648	7425	4015
649	7436	4004
650	7448	3993
651	7458	3981
652	7471	3970
653	7484	3959
654	7495	3947
655	7507	3936
656	7518	3925
657	7529	3913
658	7539	3901
659	7551	3890
660	7561	3878
661	7571	3865
662	7582	3854
663	7593	3842
664	7604	3831
665	7615	3819
666	7625	3807
667	7635	3795
668	7646	3783
669	7657	3771
670	7668	3759
671	7679	3748
672	7690	3736
673	7702	3725
674	7712	3713
675	7722	3701
676	7733	3689
677	7743	3677
678	7754	3665
679	7764	3653
680	7774	3641
681	7784	3629
682	7795	3618
683	7805	3606
684	7815	3594
685	7826	3582
686	7836	3570
687	7846	3558
688	7857	3546
689	7867	3534
690	7877	3522
691	7889	3511
692	7900	3499
693	7912	3488
694	7923	3477
695	7934	3465
696	7945	3454
697	7957	3442
698	7968	3431
699	7979	3419
700	7990	3408
701	8001	3396
702	8013	3385
703	8027	3375
704	8039	3364
705	8051	3353
706	8065	3342
707	8078	3331
708	8090	3320
709	8104	3310
710	8117	3299
711	8130	3288
712	8143	3277
713	8155	3266
714	8167	3255
715	8180	3244
716	8190	3232
717	8202	3221
718	8213	3210
719	8224	3198
720	8235	3186
721	8246	3175
722	8256	3163
723	8267	3151
724	8279	3140
725	8294	3130
726	8307	3119
727	8318	3107
728	8330	3096
729	8342	3085
730	8352	3073
731	8363	3061
732	8373	3050
733	8383	3038
734	8394	3026
735	8405	3015
736	8415	3003
737	8426	2991
738	8437	2979
739	8447	2968
740	8458	2956
741	8468	2944
742	8479	2932
743	8489	2921
744	8500	2909
745	8509	2897
746	8522	2886
747	8533	2875
748	8545	2863
749	8556	2852
750	8567	2840
751	8577	2828
752	8588	2817
753	8599	2805
754	8609	2793
755	8620	2782
756	8630	2770
757	8641	2759
758	8652	2747
759	8663	2735
760	8673	2724
761	8685	2712
762	8695	2701
763	8706	2689
764	8717	2678
765	8729	2666
766	8740	2655
767	8752	2643
768	8762	2632
769	8773	2620
770	8785	2609
771	8797	2598
772	8808	2586
773	8819	2575
774	8830	2563
775	8840	2551
776	8850	2540
777	8861	2528
778	8871	2516
779	8882	2505
780	8893	2493
781	8903	2482
782	8913	2470
783	8925	2459
784	8936	2447
785	8947	2436
786	8958	2424
787	8968	2412
788	8979	2401
789	8990	2389
790	9000	2378
791	9012	2366
792	9023	2355
793	9032	2343
794	9044	2332
795	9054	2320
796	9064	2308
797	9075	2297
798	9086	2285
799	9096	2274
800	9106	2262
801	9117	2250
802	9127	2239
803	9139	2228
804	9151	2216
805	9162	2205
806	9173	2193
807	9184	2182
808	9195	2170
809	9206	2159
810	9217	2148
811	9227	2136
812	9238	2124
813	9249	2113
814	9259	2101
815	9271	2090
816	9283	2079
817	9294	2067
818	9305	2056
819	9315	2044
820	9326	2033
821	9337	2021
822	9349	2010
823	9359	1999
824	9370	1987
825	9383	1976
826	9394	1965
827	9404	1953
828	9414	1942
829	9425	1930
830	9436	1919
831	9446	1907
832	9456	1895
833	9467	1884
834	9478	1872
835	9487	1861
836	9498	1849
837	9509	1838
838	9519	1826
839	9530	1815
840	9541	1803
841	9552	1792
842	9564	1781
843	9576	1769
844	9586	1758
845	9595	1746
846	9605	1735
847	9615	1723
848	9625	1712
849	9635	1700
850	9645	1688
851	9655	1677
852	9665	1665
853	9676	1654
854	9686	1642
855	9696	1631
856	9706	1619
857	9716	1608
858	9726	1596
859	9736	1584
860	9746	1573
861	9756	1561
862	9768	1550
863	9779	1539
864	9791	1528
865	9801	1516
866	9811	1505
867	9821	1493
868	9832	1482
869	9842	1470
870	9853	1459
871	9864	1447
872	9873	1436
873	9885	1425
874	9895	1413
875	9905	1402
876	9916	1390
877	9927	1379
878	9937	1368
879	9949	1356
880	9960	1345
881	9972	1334
882	9983	1322
883	9996	1311
884	10007	1300
885	10019	1289
886	10032	1278
887	10044	1266
888	10057	1255
889	10070	1244
890	10083	1233
891	10095	1222
892	10108	1211
893	10118	1199
894	10130	1188
895	10141	1177
896	10151	1165
897	10163	1154
898	10175	1143
899	10187	1131
900	10199	1120
901	10210	1109
902	10222	1098
903	10233	1086
904	10245	1075
905	10257	1064
906	10267	1052
907	10278	1041
908	10291	1030
909	10303	1019
910	10314	1007
911	10325	996
912	10337	985
913	10347	973
914	10359	962
915	10370	951
916	10381	939
917	10393	928
918	10405	917
919	10418	905
920	10428	894
921	10439	883
922	10451	871
923	10461	860
924	10472	849
925	10483	837
926	10494	826
927	10505	815
928	10517	803
929	10528	792
930	10539	781
931	10550	769
932	10561	758
933	10572	747
934	10584	735
935	10596	724
936	10608	713
937	10620	702
938	10632	690
939	10643	679
940	10653	667
941	10664	656
942	10675	645
943	10686	633
944	10698	622
945	10710	611
946	10720	600
947	10732	588
948	10743	577
949	10754	566
950	10765	554
951	10777	543
952	10787	532
953	10800	520
954	10813	509
955	10825	498
956	10838	487
957	10848	475
958	10860	464
959	10872	453
960	10882	441
961	10894	430
962	10906	419
963	10916	407
964	10927	396
965	10938	384
966	10948	373
967	10959	362
968	10970	350
969	10981	339
970	10994	328
971	11005	317
972	11017	305
973	11029	294
974	11041	283
975	11054	271
976	11064	260
977	11075	249
978	11087	237
979	11097	226
980	11108	215
981	11120	203
982	11131	192
983	11142	181
984	11155	169
985	11169	158
986	11181	147
987	11193	135
988	11206	124
989	11221	113
990	11234	102
991	11247	90
992	11259	79
993	11272	68
994	11287	56
995	11303	45
996	11316	34
997	11330	22
998	11342	11
999	11354	0
